,ts_code,trade_date,close,vol,amount
0,000725.SZ,20200724,4.52,9328046.46,4298120.316
1,000725.SZ,20200723,4.78,11510378.59,5478509.51
2,000725.SZ,20200722,4.94,8939355.59,4433863.605
3,000725.SZ,20200721,4.94,11063860.52,5445033.19
4,000725.SZ,20200720,4.82,8899826.66,4217258.844
5,000725.SZ,20200717,4.63,9879035.95,4588217.804
6,000725.SZ,20200716,4.69,13133991.09,6371276.874
7,000725.SZ,20200715,4.94,10958303.44,5510283.307
8,000725.SZ,20200714,5.17,13086048.35,6779441.121
9,000725.SZ,20200713,5.26,13902528.8,7200070.523
10,000725.SZ,20200710,5.08,15527739.13,7986989.304
11,000725.SZ,20200709,5.32,16123335.25,8522706.263
12,000725.SZ,20200708,5.28,14290073.58,7476173.558
13,000725.SZ,20200707,5.19,20953619.83,11073800.821
14,000725.SZ,20200706,5.01,16529870.83,8159225.545
15,000725.SZ,20200703,4.8,10849742.28,5176331.73
16,000725.SZ,20200702,4.87,15035559.26,7114152.836
17,000725.SZ,20200701,4.65,7816851.29,3604352.453
18,000725.SZ,20200630,4.67,8175768.28,3804563.855
19,000725.SZ,20200629,4.63,9908610.33,4585287.278
20,000725.SZ,20200624,4.53,8159471.57,3701355.19
21,000725.SZ,20200623,4.6,11431796.78,5332910.083
22,000725.SZ,20200622,4.6,9905963.54,4585864.997
23,000725.SZ,20200619,4.59,10585269.47,4817393.56
24,000725.SZ,20200618,4.55,11154491.18,5063066.45
25,000725.SZ,20200617,4.45,8175864.06,3634384.717
26,000725.SZ,20200616,4.54,7982642.99,3631184.559
27,000725.SZ,20200615,4.42,12455964.3,5580852.49
28,000725.SZ,20200612,4.63,10254487.16,4720677.353
29,000725.SZ,20200611,4.65,12784182.5,6033835.446
30,000725.SZ,20200610,4.8,17344406.71,8136733.846
31,000725.SZ,20200609,4.6,15677393.75,7201668.598
32,000725.SZ,20200608,4.74,24260709.23,11391894.603
33,000725.SZ,20200605,4.34,10044762.17,4352140.588
34,000725.SZ,20200604,4.33,14057754.55,6129867.148
35,000725.SZ,20200603,4.23,16615173.34,7105618.895
36,000725.SZ,20200602,4.25,22365674.96,9292990.159
37,000725.SZ,20200601,3.93,10600869.38,4100094.65
38,000725.SZ,20200529,3.71,4324312.2,1613590.584
39,000725.SZ,20200528,3.7,3333146.62,1232994.469
40,000725.SZ,20200527,3.71,2489609.15,927296.964
41,000725.SZ,20200526,3.77,2789992.16,1047305.016
42,000725.SZ,20200525,3.71,3290499.04,1223388.988
43,000725.SZ,20200522,3.77,5485954.39,2084535.368
44,000725.SZ,20200521,3.87,5627865.53,2191437.991
45,000725.SZ,20200520,3.91,8452546.14,3314292.715
46,000725.SZ,20200519,3.85,4384345.43,1686430.054
47,000725.SZ,20200518,3.8,8539718.4,3278010.237
48,000725.SZ,20200515,3.93,7692280.28,3017380.879
49,000725.SZ,20200514,3.86,4414209.52,1709693.435
50,000725.SZ,20200513,3.9,4899929.69,1903654.583
51,000725.SZ,20200512,3.92,5160480.11,2010002.501
52,000725.SZ,20200511,3.95,10046902.52,3983176.075
53,000725.SZ,20200508,3.86,6683954.88,2575777.734
54,000725.SZ,20200507,3.77,5165132.69,1964931.462
55,000725.SZ,20200506,3.82,7698712.0,2912178.415
