,ts_code,trade_date,close,vol,amount
0,000725.SZ,20200630,4.67,25194125625.0,113202384476.53
1,000725.SZ,20200529,3.71,10047959075.0,38676077478.13
2,000725.SZ,20200430,3.76,11795687152.0,44664864488.95
3,000725.SZ,20200331,3.71,23699091677.0,106988492568.76
4,000725.SZ,20200228,4.9,25472923005.0,128675593755.33
5,000725.SZ,20200123,4.72,14293095769.0,69414403775.26
6,000725.SZ,20191231,4.54,22331476265.0,98970421909.35
7,000725.SZ,20191129,3.9,9303647240.0,34799561572.54
8,000725.SZ,20191031,3.57,5186057932.0,19206655256.79
9,000725.SZ,20190930,3.75,13729413509.0,53803918446.16
10,000725.SZ,20190830,3.66,15773710994.0,60751874927.18
11,000725.SZ,20190731,4.05,23045250265.0,91076452662.28
