,ts_code,trade_date,close,vol,amount
0,000725.SZ,20200724,4.52,4974146782.0,23872785468.3
1,000725.SZ,20200717,4.63,6095990763.0,30449289631.32
2,000725.SZ,20200710,5.08,8342463862.0,43218895493.24
3,000725.SZ,20200703,4.8,5178653144.0,24284688155.03
4,000725.SZ,20200624,4.53,2949723189.0,13620130271.39
5,000725.SZ,20200619,4.59,5035423200.0,22726881778.22
6,000725.SZ,20200612,4.63,8032117935.0,37484809848.32
7,000725.SZ,20200605,4.34,7368423440.0,30980711443.85
8,000725.SZ,20200529,3.71,1622755917.0,6044576024.09
9,000725.SZ,20200522,3.77,3249042989.0,12554706367.12
10,000725.SZ,20200515,3.93,3221380212.0,12623907474.56
11,000725.SZ,20200508,3.86,1954779957.0,7452887612.36
12,000725.SZ,20200430,3.76,2711300890.0,9795403911.69
13,000725.SZ,20200424,3.7,2184367728.0,8260026641.48
14,000725.SZ,20200417,3.89,2327927050.0,8944514989.75
15,000725.SZ,20200410,3.8,2177434990.0,8506398268.95
16,000725.SZ,20200403,3.82,3977582463.0,15090906388.88
17,000725.SZ,20200327,3.95,4251043328.0,16922450994.34
18,000725.SZ,20200320,4.2,5467748801.0,23017818424.53
19,000725.SZ,20200313,4.49,6102822324.0,29066131455.2
20,000725.SZ,20200306,5.16,6294551255.0,32049705982.89
21,000725.SZ,20200228,4.9,8952445308.0,48684729627.73
22,000725.SZ,20200221,5.35,7877518983.0,40416239978.27
23,000725.SZ,20200214,4.68,3751863506.0,17718955356.72
24,000725.SZ,20200207,4.66,4891095208.0,21855668792.61
25,000725.SZ,20200123,4.72,3650591049.0,17818749826.91
26,000725.SZ,20200117,4.83,3254349733.0,15923040582.97
27,000725.SZ,20200110,4.95,5583294858.0,27264722467.11
28,000725.SZ,20200103,4.73,3396718019.0,15618311015.35
29,000725.SZ,20191227,4.64,5291955922.0,24917411631.2
30,000725.SZ,20191220,4.68,7803584866.0,35918088692.76
31,000725.SZ,20191213,4.11,3867088030.0,15771906919.59
32,000725.SZ,20191206,4.07,3776989557.0,15152594548.72
33,000725.SZ,20191129,3.9,3532760021.0,13609331483.34
34,000725.SZ,20191122,3.65,1763485722.0,6515337846.24
35,000725.SZ,20191115,3.69,2397703822.0,8841798385.41
36,000725.SZ,20191108,3.63,1405905074.0,5102977698.96
37,000725.SZ,20191101,3.59,1374201280.0,4994908491.65
38,000725.SZ,20191025,3.7,1480501641.0,5448817613.7
39,000725.SZ,20191018,3.64,1395303185.0,5215840601.81
40,000725.SZ,20191011,3.76,1139844427.0,4277204708.22
41,000725.SZ,20190930,3.75,268897703.0,1016568386.74
42,000725.SZ,20190927,3.76,2221784515.0,8486709190.81
43,000725.SZ,20190920,3.94,2731682334.0,10781799834.05
44,000725.SZ,20190912,4.03,4883141352.0,19753525109.76
45,000725.SZ,20190906,3.91,3623907605.0,13765315924.8
46,000725.SZ,20190830,3.66,3320916381.0,12606979576.26
47,000725.SZ,20190823,3.97,3814577751.0,15047596638.51
48,000725.SZ,20190816,3.82,3253015039.0,12450166952.27
49,000725.SZ,20190809,3.72,3902444201.0,14755718670.04
50,000725.SZ,20190802,3.93,4692430872.0,19326587983.6
